asset,market_id,market_slug,token_id,question,lag_hours,direction,n,correlation,tstat,pvalue_two_sided,candidate_score,days_bucket,volume_bucket,liquidity_bucket,volume_1mo_usd,volume_total_usd,liquidity_usd,exploratory_label
BTC,692258,microstrategy-sells-any-bitcoin-by-june-30-2026,110251828161543119357013227499774714771527179764174739487025581227481937033858,"MicroStrategy sells any Bitcoin by June 30, 2026?",1,poly_leads_crypto,357,-0.14961361195456052,-2.8510260507828526,0.004612584614396654,2.8510260507828526,30-90d,100k-1m,10k-100k,139299.21556099996,998871.1045009972,74947.19606,EXPLORATORY ONLY - NOT TRADEABLE
BTC,1393070,will-bitcoin-reach-1000000-by-december-31-2026-946,18571303954259773157233385333455041418270179723020753158306812650937565180666,"Will Bitcoin reach $1,000,000 by December 31, 2026?",1,poly_leads_crypto,529,-0.10351990888098825,-2.389289517009643,0.017231636961210984,2.389289517009643,>90d,100k-1m,100k-1m,582121.2551080002,966491.5530770047,110823.19725,EXPLORATORY ONLY - NOT TRADEABLE
SOL,1823881,will-solana-reach-160-in-april-2026,2239666445220242421622333852346062404205114740031545382107437837927896782621,Will Solana reach $160 in April?,4,poly_leads_crypto,424,0.11138333248938212,2.3024344026184114,0.0217965642950795,2.3024344026184114,<7d,100k-1m,10k-100k,525253.4580469998,525253.4580469998,51776.28813,EXPLORATORY ONLY - NOT TRADEABLE
BTC,948958,bitcoin-all-time-high-by-december-31-2026,102959890468928530190954086704155483076852880798676895426376704430618826404382,"Bitcoin all time high by December 31, 2026?",24,poly_leads_crypto,313,-0.12881068357728404,-2.2906843749025607,0.022650478917107503,2.2906843749025607,>90d,100k-1m,10k-100k,150472.217921,769792.2449099988,45856.2478,EXPLORATORY ONLY - NOT TRADEABLE
BTC,948957,bitcoin-all-time-high-by-september-30-2026,50388900663189748675936681554126016850520413670342348778716337126803310768728,"Bitcoin all time high by September 30, 2026?",1,poly_leads_crypto,304,-0.1301944002153859,-2.2819603886366875,0.023187154493747936,2.2819603886366875,>90d,100k-1m,10k-100k,177102.009143,546993.9814949998,67639.9176,EXPLORATORY ONLY - NOT TRADEABLE
BTC,1823784,will-bitcoin-dip-to-40k-in-april-2026-795-619,98951083891762751529749372132438032148715175020829409124970659708693351854318,"Will Bitcoin dip to $40,000 in April?",1,poly_leads_crypto,278,0.11917306427989714,1.9940623306062837,0.04712900696421008,1.9940623306062837,<7d,100k-1m,100k-1m,873175.1079320026,873175.1079320033,186868.12829,EXPLORATORY ONLY - NOT TRADEABLE
BTC,701495,will-bitcoin-reach-110000-by-december-31-2026-658-339-969,74843373582432484858627201602003648342208168490128239235522790524493414154441,"Will Bitcoin reach $110,000 by December 31, 2026?",1,poly_leads_crypto,567,-0.08160506937914894,-1.9462215016831252,0.0521234997355074,1.9462215016831252,>90d,100k-1m,10k-100k,150938.881097,746570.8963849989,47430.7886,EXPLORATORY ONLY - NOT TRADEABLE
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,MegaETH market cap (FDV) >$1.5B one day after launch?,24,poly_leads_crypto,581,-0.07342066145569702,-1.771459768477115,0.07701022764669106,1.771459768477115,<7d,100k-1m,100k-1m,546288.3970620001,880221.591573998,162538.6863,EXPLORATORY ONLY - NOT TRADEABLE
BTC,824952,microstrategy-sells-any-bitcoin-by-december-31-2026,111128191581505463501777127559667396812474366956707382672202929745167742497287,"MicroStrategy sells any Bitcoin by December 31, 2026?",4,poly_leads_crypto,333,-0.09625570071263649,-1.7593884596240472,0.07943537691612856,1.7593884596240472,30-90d,100k-1m,10k-100k,143984.23392300008,574606.4678400013,34148.2985,EXPLORATORY ONLY - NOT TRADEABLE
BTC,701491,will-bitcoin-reach-150000-by-december-31-2026-557-246-971,9408196828451163378822245032645030045707991112669125056198742225498158094445,"Will Bitcoin reach $150,000 by December 31, 2026?",4,poly_leads_crypto,393,-0.08798558909556696,-1.7465760596748514,0.08149615133578522,1.7465760596748514,>90d,100k-1m,10k-100k,118008.25690700008,846980.526583002,71161.4267,EXPLORATORY ONLY - NOT TRADEABLE
