market_key,title,similarity,match_method,venue_yes,venue_no,direction,yes_ask,no_ask,gross_edge_per_pair,fee_per_pair,net_edge_per_pair,contracts,capital_required_usd,net_profit_usd,is_actionable,reason_code
KXBRPRES1R-26OCT04-LSIL|0xd99603add7350a5ff33c8dc609ab0eaae2d5d18162bb00eeb63c38c81ae038f8,Will Luiz Inácio Lula da Silva win the first round of the 2026 Brazilian presidential election?,0.857143,token_overlap,polymarket,kalshi,yes_b_no_a,0.097,0.37,0.533,0.02,0.513,1,0.487,0.513,True,actionable
KXTIME-26-GPT|0xea4ed38f531f9786dfd1e157d7f17c659077b0082aefec46ad5fb37b777e16f0,Will ChatGPT be Time Person of the Year in 2026?,1.0,token_overlap,kalshi,polymarket,yes_a_no_b,0.08,0.88,0.04,0.005202,0.034798,198,191.11,6.89,True,actionable
KXPUTINZELENSKYYLOCATION-28-RUS|0x6e003c15210b25e867931fdf51d3c2de23d4d9b17c69f7e1701ba45aa871f4b5,Will Putin and Zelenskyy meet next in Russia?,0.833333,token_overlap,polymarket,kalshi,yes_b_no_a,0.009,0.96,0.031,0.01,0.021,1,0.979,0.021,False,profit_below_minimum
KXNEXTROMANIAPM-45JAN01-ANAZ|0xabc341cc5fefcc1611837576594d131336784fa96210008da4e2004123917a84,Will Alexandru Nazare be the next Prime Minister of Romania?,1.0,token_overlap,polymarket,kalshi,yes_b_no_a,0.18,0.78,0.04,0.02,0.02,1,0.98,0.02,False,profit_below_minimum
KXLAPRIMARY-05R26-MMEB|0x4114456cd498aba2e45a6a1c14cc7f048c74556adaa6ad06c5ef4428f751f9ed,Will Michael Mebruer be the Republican nominee for LA-05?,1.0,token_overlap,kalshi,polymarket,yes_a_no_b,0.019,0.96,0.021,0.001324,0.019676,204,199.986,4.014,False,edge_below_fee_threshold
KXTIME-26-JAM|0xa55aba6f5c78f51112da71f57888efba75e85840a9afafe42ab9f3dedf8fc338,Will James Talarico be Time Person of the Year in 2026?,1.0,token_overlap,kalshi,polymarket,yes_a_no_b,0.1,0.88,0.02,0.006337,0.013663,202,199.24,2.76,False,edge_below_fee_threshold
KXTIME-26-TS|0xa44f29126cefb6c4f51b98043e94faec39e90d1e12d0eb310937b6c81e3fa869,Will Taylor Swift be Time Person of the Year in 2026?,1.0,token_overlap,kalshi,polymarket,yes_a_no_b,0.05,0.935,0.015,0.003366,0.011634,202,199.65,2.35,False,edge_below_fee_threshold
KXTIME-26-BAD|0x7a00fdfd7dbd9384392369dcc2d4a304b47876371b41d779059e47644155b246,Will Bad Bunny be Time Person of the Year in 2026?,1.0,token_overlap,kalshi,polymarket,yes_a_no_b,0.08,0.905,0.015,0.005174,0.009826,201,199.025,1.975,False,edge_below_fee_threshold
KXCTPRIMARY-01D26-JLAR|0x5ffc4b0998e7e63eecf817ac89a9ee4b4c1276452b5e7d4a628ad6b9d0f026b9,Will John Larson be the Democratic nominee for CT-01?,1.0,token_overlap,kalshi,polymarket,yes_a_no_b,0.42,0.63,-0.05,0.0,0.0,0,0.0,0.0,False,negative_gross_edge
KXFL19R-26-CLAU|0xf43d99c0b796e0e5226dffa31c71c9fab943e3f79c0182c144eea93dc6b77ae2,Will Catalina Lauf be the Republican nominee for FL-19?,1.0,token_overlap,kalshi,polymarket,yes_a_no_b,0.57,0.47,-0.04,0.0,0.0,0,0.0,0.0,False,negative_gross_edge
KXFRENCHPRES-27-MLEP|0x8126317d621047fb13d508a2651eecc8d38305904671822a62309c5aabd353aa,Will Marine Le Pen win the 2027 French presidential election?,1.0,token_overlap,kalshi,polymarket,yes_a_no_b,0.072,0.93,-0.002,0.0,0.0,0,0.0,0.0,False,negative_gross_edge
KXGOVFLNOMR-26-BD|0xd4a3de1964b1f3fa1edeca40dbc3ef6663a56fda84e804066c23096b615904f9,Will Byron Donalds be the Republican nominee for Governor in Florida?,1.0,token_overlap,kalshi,polymarket,yes_a_no_b,0.933,0.08,-0.013,0.0,0.0,0,0.0,0.0,False,negative_gross_edge
KXNEXTISRAELPM-45JAN01-YCOH|0xa653be0f150dbe055a532ea02977338bb31f49d1f723b2a48c1f67847a73cb7d,Will Yossi Cohen be the next Prime Minister of Israel?,1.0,token_overlap,polymarket,kalshi,yes_b_no_a,0.005,0.998,-0.003,0.0,0.0,0,0.0,0.0,False,negative_gross_edge
KXNHPRIMARY-01R26-HNOV|0x6f21d12b7ed695be738057d9721bf83d7ef0ca922c4b837de94f5808e05e1f9f,Will Hollie Noveletsky be the Republican nominee for NH-01?,1.0,token_overlap,polymarket,kalshi,yes_b_no_a,0.24,0.79,-0.03,0.0,0.0,0,0.0,0.0,False,negative_gross_edge
KXPGATOP10-USO26-KBRA|0x2f78bcddd96110145d502f49596cd85ed716f0212b874342370a9c258b4daf46,U.S. Open: Will Keegan Bradley finish top 10?,0.888889,token_overlap,kalshi,polymarket,yes_a_no_b,0.26,0.9,-0.16,0.0,0.0,0,0.0,0.0,False,negative_gross_edge
KXPGATOP10-USO26-MFIT|0x70ce665347243c3faf1c50cdca08c8e4b743ec01acefcc2b98e004c893c165dd,U.S. Open: Will Matt Fitzpatrick finish top 10?,0.888889,token_overlap,kalshi,polymarket,yes_a_no_b,0.61,0.66,-0.27,0.0,0.0,0,0.0,0.0,False,negative_gross_edge
KXPGATOP10-USO26-SSTE|0x9bc64d699954437cecdac43abc8182b4eb16b7eaf001495ece936d2d74cf6460,U.S. Open: Will Sam Stevens finish top 10?,0.888889,token_overlap,kalshi,polymarket,yes_a_no_b,0.3,0.897,-0.197,0.0,0.0,0,0.0,0.0,False,negative_gross_edge
KXPGATOP20-USO26-CMOR|0xef1b70b7daad7d169e97005a018cfcc439cf1b60613204536e992d54447d8e4c,U.S. Open: Will Collin Morikawa finish top 20?,0.888889,token_overlap,kalshi,polymarket,yes_a_no_b,0.63,0.96,-0.59,0.0,0.0,0,0.0,0.0,False,negative_gross_edge
KXSENATEKSD-26-MSOE|0x055f6d2291df83e604c5f21fc3baa61272b8a1b13193a590b6fc3c4114238988,Will Michael Soetaert be the Democratic nominee for the Senate in Kansas?,1.0,token_overlap,polymarket,kalshi,yes_b_no_a,0.002,0.999,-0.001,0.0,0.0,0,0.0,0.0,False,negative_gross_edge
KXTAYLORSWIFTWEDDINGATTEND-28DEC31-EST|0x52df1d538aca1242b08834637708b046c15732a9aff3211ce6f6c240a753f41f,Will Este Haim attend Taylor Swift and Travis Kelce's Wedding?,0.777778,token_overlap,kalshi,polymarket,yes_a_no_b,0.9,0.15,-0.05,0.0,0.0,0,0.0,0.0,False,negative_gross_edge
KXTIME-26-CHR|0xee8e0462ec5a4c6100e390941358f387fb918bcbbebff110a08899626e8174ff,Will Christina Koch be Time Person of the Year in 2026?,1.0,token_overlap,kalshi,polymarket,yes_a_no_b,0.09,0.96,-0.05,0.0,0.0,0,0.0,0.0,False,negative_gross_edge
KXTIME-26-MAR|0x892d1e281ad603dffc0361a23072a601c14025da05a512f9f3812dbff5414b5c,Will Marco Rubio be Time Person of the Year in 2026?,1.0,token_overlap,kalshi,polymarket,yes_a_no_b,0.06,0.95,-0.01,0.0,0.0,0,0.0,0.0,False,negative_gross_edge
KXTIME-26-MOH|0xf9defdfbc645a8a06734f250fbfb37269b43ac50fbc03ff5dc260d90fffa3d22,Will Mohammad-Bagher Ghalibaf be Time Person of the Year in 2026?,1.0,token_overlap,kalshi,polymarket,yes_a_no_b,0.05,0.95,0.0,0.0,0.0,0,0.0,0.0,False,negative_gross_edge
KXTIME-26-PET|0x19990f2703267c16ebdcfcc5f514244839ba0c31592e01ff9a937ce7831dce2c,Will Péter Magyar be Time Person of the Year in 2026?,1.0,token_overlap,kalshi,polymarket,yes_a_no_b,0.08,0.99,-0.07,0.0,0.0,0,0.0,0.0,False,negative_gross_edge
KXTIME-26-POP|0xc36f13fb975afe21daa6b863e055b80a0322186fd8af361e4c1a315c92c48d35,Will Pope Leo XIV be Time Person of the Year in 2026?,1.0,token_overlap,polymarket,kalshi,yes_b_no_a,0.16,0.83,0.01,0.01,0.0,1,1.0,0.0,False,edge_below_fee_threshold
KXTIME-26-VIC|0x22215d1b4337eb3bf7dc9778e934e8b81622ee452eec229ecaa00c8f7d2b209c,Will Victor Glover be Time Person of the Year in 2026?,1.0,token_overlap,kalshi,polymarket,yes_a_no_b,0.08,0.99,-0.07,0.0,0.0,0,0.0,0.0,False,negative_gross_edge
KXTIME-26-ZOH|0x9c08dd09883c33419b3dc35ee73720c0f69c33246c1c8370f9572279707a40d5,Will Zohran Mamdani be Time Person of the Year in 2026?,1.0,token_overlap,kalshi,polymarket,yes_a_no_b,0.2,0.93,-0.13,0.0,0.0,0,0.0,0.0,False,negative_gross_edge
KXWCGOALCOUNT-26CRIS7-3|0x8d9f6266c9dd40f80dab0bd4ce4b25adde9156609289a3cbad32b684820fe8e8,Will Cristiano Ronaldo score 3+ goals in the 2026 Men's FIFA World Cup?,0.75,token_overlap,polymarket,kalshi,yes_b_no_a,0.38,0.67,-0.05,0.0,0.0,0,0.0,0.0,False,negative_gross_edge
KXWCGOALCOUNT-26LMESSI10-6|0x5f55defc59d3b873f631e5c79c1ed8ae77432b1703a6adc2b6a56410c1485a5e,Will Lionel Messi score 6+ goals in the 2026 Men's FIFA World Cup?,0.75,token_overlap,polymarket,kalshi,yes_b_no_a,0.65,0.47,-0.12,0.0,0.0,0,0.0,0.0,False,negative_gross_edge
KXWCPLAYERGOALS-26GER-NWOLTE27|0xac28c7c1690d42ca16bbf74f5e416406ef3cbdea5fa84e35fdcdaf4427bb0e9a,Will Nick Woltemade score a goal in the 2026 Men's FIFA World Cup?,0.8,token_overlap,polymarket,kalshi,yes_b_no_a,0.35,0.97,-0.32,0.0,0.0,0,0.0,0.0,False,negative_gross_edge
KXWCPLAYERGOALS-26POR-BFERNANDES|0x83266f9486706fe871101e63263d0c54df0e5ed63acc1d320f2a1f11f6af856f,Will Bruno Fernandes score a goal in the 2026 Men's FIFA World Cup?,0.8,token_overlap,kalshi,polymarket,yes_a_no_b,0.83,0.29,-0.12,0.0,0.0,0,0.0,0.0,False,negative_gross_edge
KXWCPLAYERGOALS-26POR-VITINHA|0x9c1058d30c9df7c6ef2e9ec84f0ff68ca99bda07341cee311e7fa58ada275f5a,Will Vitinha score a goal in the 2026 Men's FIFA World Cup?,0.777778,token_overlap,polymarket,kalshi,yes_b_no_a,0.4,0.98,-0.38,0.0,0.0,0,0.0,0.0,False,negative_gross_edge
SENATEIL-26-R|0xaed6455cc597aac64c06e4e85506a0efdbc1fe0d37824e77a29b09559214ada1,Will Republicans win the Senate race in Illinois?,0.833333,token_overlap,polymarket,kalshi,yes_b_no_a,0.027,0.99,-0.017,0.0,0.0,0,0.0,0.0,False,negative_gross_edge
KXTORONTOMAYOR-26OCT26-BBRA|0xbdfde2fd2472d48a0b126c360eab593687d87208a0f54a89079680af25007e92,Will Brad Bradford win the 2026 Toronto mayoral election?,1.0,token_overlap,kalshi,polymarket,yes_a_no_b,0.2,0.79,0.01,0.011206,-0.001206,199,199.24,-0.24,False,edge_below_fee_threshold
KXVANCOUVERMAYOR-26OCT17-KLAP|0xf42fdaf0069af7f49b1b2dcd8160ad73034c8704ef988c44dfe964f2f719facc,Will Kirk LaPointe win the 2026 Vancouver mayoral election?,1.0,token_overlap,polymarket,kalshi,yes_b_no_a,0.002,0.994,0.004,0.01,-0.006,1,1.006,-0.006,False,edge_below_fee_threshold
